date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:26:02	1693/1693	---MCZ	200	added ('OK')	image/png	date:Wed,%2022%20Sep%202021%2006:37:00%20GMT	https://dfs.yun300.cn/group1/M00/1F/E6/rBQBHGFKzwyED0lEAAAAAAgFLqU891.png	C:/My%20Websites/xiayu/dfs.yun300.cn/group1/M00/1F/E6/rBQBHGFKzwyED0lEAAAAAAgFLqU891.png	(from http://www.xynmkj.cn/)
14:26:02	719/719	---M--	200	added ('OK')	image/png	date:Wed,%2022%20Sep%202021%2006:37:59%20GMT	https://dfs.yun300.cn/group1/M00/06/F0/rBQBHWFKz0eEXOxCAAAAAOkLPBM980.png	C:/My%20Websites/xiayu/dfs.yun300.cn/group1/M00/06/F0/rBQBHWFKz0eEXOxCAAAAAOkLPBM980.png	(from http://www.xynmkj.cn/)
14:26:03	183/183	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2023%20Jun%202022%2006:26:02%20GMT	http://dfs.yun300.cn/group1/M00/06/F0/rBQBHWFKzi-EbGkuAAAAAMzwAYE657.png	C:/My%20Websites/xiayu/dfs.yun300.cn/group1/M00/06/F0/rBQBHWFKzi-EbGkuAAAAAMzwAYE657.24.delayed	(from http://www.xynmkj.cn/)
14:26:04	10365/10365	---MCZ	200	added ('OK')	image/png	date:Wed,%2022%20Sep%202021%2006:33:19%20GMT	https://dfs.yun300.cn/group1/M00/06/F0/rBQBHWFKzi-EbGkuAAAAAMzwAYE657.png	C:/My%20Websites/xiayu/dfs.yun300.cn/group1/M00/06/F0/rBQBHWFKzi-EbGkuAAAAAMzwAYE657.png	(from http://www.xynmkj.cn/)
14:26:20	99946/99946	---M--	200	added ('OK')	image/jpeg	etag:%226167ac61-1866a%22	http://www.xynmkj.cn/repository/image/5f83c3b8-a62b-4f5a-b26a-f27aeb0960a7.jpg	C:/My%20Websites/xiayu/www.xynmkj.cn/repository/image/5f83c3b8-a62b-4f5a-b26a-f27aeb0960a7.jpg	(from http://www.xynmkj.cn/)
14:26:26	124145/124145	---M--	200	added ('OK')	image/jpeg	etag:%226167ac61-1e4f1%22	http://www.xynmkj.cn/repository/image/a49f4e5e-91b1-4056-9cea-5a7d54c0356d.jpg	C:/My%20Websites/xiayu/www.xynmkj.cn/repository/image/a49f4e5e-91b1-4056-9cea-5a7d54c0356d.jpg	(from http://www.xynmkj.cn/)
14:26:55	134318/134318	---M--	200	added ('OK')	image/jpeg	etag:%226168f967-20cae%22	http://www.xynmkj.cn/repository/image/a644741a-1985-4227-bcb9-4971ecaf305f.jpg	C:/My%20Websites/xiayu/www.xynmkj.cn/repository/image/a644741a-1985-4227-bcb9-4971ecaf305f.jpg	(from http://www.xynmkj.cn/)
14:27:06	422385/422385	---M--	200	added ('OK')	image/png	etag:%2261639ec2-671f1%22	http://www.xynmkj.cn/repository/image/08ea2c3b-f0b4-4601-8ed0-b2cdd1673ff3.png	C:/My%20Websites/xiayu/www.xynmkj.cn/repository/image/08ea2c3b-f0b4-4601-8ed0-b2cdd1673ff3.png	(from http://www.xynmkj.cn/)
14:27:07	183/183	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2023%20Jun%202022%2006:27:06%20GMT	http://dfs.yun300.cn/group1/M00/1A/B8/rBQBG2FK5euEbI86AAAAABKe5Pk994.png	C:/My%20Websites/xiayu/dfs.yun300.cn/group1/M00/1A/B8/rBQBG2FK5euEbI86AAAAABKe5Pk994.2d.delayed	(from http://www.xynmkj.cn/)
14:27:07	405382/405382	---M--	200	added ('OK')	image/png	etag:%2261639ec2-62f86%22	http://www.xynmkj.cn/repository/image/b60251b2-62c7-495a-828a-f834f7433ccc.png	C:/My%20Websites/xiayu/www.xynmkj.cn/repository/image/b60251b2-62c7-495a-828a-f834f7433ccc.png	(from http://www.xynmkj.cn/)
